1-D Interpolation (INTERP1) QC,Combine QC Flags (CMBNFLG) QC,Conductivity Compressibility Compensation (CONDCMP) QC,DOORS L2 Science Requirement #(s),DOORS L2 Science Requirement Text,DPS DCN(s),Data_Product_Level,Data_Product_Name,Evaluate Polynomial (POLYVAL) QC,Global Range Test (GLBLRNG) QC,Gradient Test (GRADTST) QC,Local Range Test (LOCLRNG) QC,Modulus (MODULUS) QC,Notes,Processing Flow Diagram DCN(s),Solar Elevation (SOLAREL) QC,Spike Test (SPKETST) QC,Stuck Value Test (STUCKVL) QC,Trend Test (TRNDTST) QC,Units,code,diagrams,dps,id,instrument_class_list,level,name,regime,units
not applicable,not applicable,not applicable,L2-SR-RQ-3185,Chlorophyll-a fluorescence,[DCN 1341-00530|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/de7bff13-c7a6-4e50-8a13-8c9e52c9b83f/1341-00530_Data_Product_SPEC_CHLAFLO_OOI.pdf],0,Fluorometric Chlorophyll-a Concentration,not applicable,not applicable,not applicable,not applicable,not applicable,,"[DCN 1342-00531|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/f06ae944-8f55-40c0-a410-3af93cc9f2c6/1342-00531_Data_Processing_Flow_FLORD_OOI.pdf] (FLORD), [DCN 1342-00530|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/555778c3-b51d-4a68-b472-ad45101dd509/1342-00530_Data_Processing_Flow_FLORT_OOI.pdf] (FLORT)",not applicable,not applicable,not applicable,not applicable,counts,CHLAFLO,"DCN 1342-00531 (FLORD), DCN 1342-00530 (FLORT)",DCN 1341-00530,CHLAFLO_L0,"[""FLORD"", ""FLORT""]",L0,Fluorometric Chlorophyll-a Concentration,Water Column,counts
not applicable,not applicable,not applicable,L2-SR-RQ-3032,flux of CO2,[DCN 1341-00270|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/f13cc476-0dcf-4d5c-a0d6-2738ba48b86f/1341-00270_Data_Product_SPEC_CO2FLUX_OOI.pdf],2,Flux of CO2 from the Ocean into the Atmosphere,not applicable,applicable,not applicable,not applicable,not applicable,,[DCN 1342-00260|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/057a2c02-c909-43c8-b0ef-102b4ad4f67e/1342-00260_PCO2A_Data_Processing_Flow_OOI.pdf],not applicable,applicable,applicable,not applicable,mol m-2 s-1,CO2FLUX,DCN 1342-00260,DCN 1341-00270,CO2FLUX_L2,"[""PCO2A""]",L2,Flux of CO2 from the Ocean into the Atmosphere,Air-Sea Interface,mol m-2 s-1
,,,,,,,,,,,,,,,,,,,,FRSHFLX,,,FRSHFLX_L2,"[""METBK""]",L2,Freshwater Flux,,m3/s
not applicable,not applicable,not applicable,L2-SR-RQ-3804,"Imagery, HD Video",DCN 1341-00840,1,HD Video Image,not applicable,not applicable,not applicable,not applicable,not applicable,These are not considered data to be archived - only live streaming,n/a,not applicable,not applicable,not applicable,not applicable,Lossless compression Image File,HDVIDEO,n/a,DCN 1341-00840,HDVIDEO_L1,"[""CAMHD""]",L1,HD Video Image,Seafloor/Crust,Lossless compression Image File
not applicable,not applicable,not applicable,L2-SR-RQ-3912,Horizontal Electrical Field,DCN 1341-00580,0,Horizontal Electric Fields,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00560,not applicable,not applicable,not applicable,not applicable,TBD,IES_HEF,DCN 1342-00560,DCN 1341-00580,IES_HEF_L0,"[""HPIES""]",L0,Horizontal Electric Fields,Water Column,TBD
not applicable,not applicable,not applicable,L2-SR-RQ-3912,Horizontal Electrical Field,DCN 1341-00580,0,Horizontal Electric Fields,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00560,not applicable,not applicable,not applicable,not applicable,TBD,IES_HEF,DCN 1342-00560,DCN 1341-00580,IES_HEF_L1,"[""HPIES""]",L1,Horizontal Electric Fields,Water Column,micro volt/cm
not applicable,not applicable,not applicable,L2-SR-RQ-3092,Vent Fluid pH-temperature-H2 chemistry,DCN 1341-00210,0,Hydrogen Concentration,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00120,not applicable,not applicable,not applicable,not applicable,V,THSPHHC,DCN 1342-00120,DCN 1341-00210,THSPHHC_L0,"[""THSPH""]",L0,Hydrogen Concentration,Seafloor/Crust,V
not applicable,not applicable,not applicable,L2-SR-RQ-3092,Vent Fluid pH-temperature-H2 chemistry,DCN 1341-00210,0,Hydrogen Concentration,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00120,not applicable,not applicable,not applicable,not applicable,V,THSPHHC,DCN 1342-00120,DCN 1341-00210,THSPHHC_L2,"[""THSPH""]",L2,Hydrogen Concentration,Seafloor/Crust,Moles/kg
not applicable,not applicable,not applicable,L2-SR-RQ-3092,Vent Fluid pH-temperature-H2 chemistry,DCN 1341-00200,0,Hydrogen Sulfide Concentration,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00120,not applicable,not applicable,not applicable,not applicable,V,THSPHHS,DCN 1342-00120,DCN 1341-00200,THSPHHS_L0,"[""THSPH""]",L0,Hydrogen Sulfide Concentration,Seafloor/Crust,V
not applicable,not applicable,not applicable,L2-SR-RQ-3092,Vent Fluid pH-temperature-H2 chemistry,DCN 1341-00200,0,Hydrogen Sulfide Concentration,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00120,not applicable,not applicable,not applicable,not applicable,V,THSPHHS,DCN 1342-00120,DCN 1341-00200,THSPHHS_L2,"[""THSPH""]",L2,Hydrogen Sulfide Concentration,Seafloor/Crust,Moles/kg
,,,,,,,,,,,,,,,,,,,,LATNFLX,,,LATNFLX_L2,"[""METBK""]",L2,Latent Heat Flux,,W/m2
,,,,,DCN 1341-00821,0,Low Frequency Acoustic pressure waves,,,,,,,DCN 1341-00821,,,,,,HYDAPLF,DCN 1341-00821,DCN 1341-00821,HYDAPLF_L1,"[""HYDLF""]",L1,Low Frequency Acoustic pressure waves,,
,,,,,DCN 1341-00821,0,Low Frequency Acoustic pressure waves,,,,,,,DCN 1341-00821,,,,,,HYDAPLF,DCN 1341-00821,DCN 1341-00821,HYDAPLF_L0,"[""HYDLF""]",L0,Low Frequency Acoustic pressure waves,,
not applicable,not applicable,not applicable,L2-SR-RQ-3085,Single Point Water Velocity,[DCN 1341-00790|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/e47c753f-e4a4-4ed2-8ffa-7c7222246ecb/1341-00790_Data_Product_SPEC_VELPTMN_OOI.pdf],1,Mean Point Water Velocity,applicable,applicable,not applicable,applicable,not applicable,,[DCN 1342-00790|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/5dbba582-f589-45d5-b024-804336240d75/1342-00790_Data_Processing_Flow_VELPT_OOI.pdf],not applicable,applicable,applicable,applicable,m/s,VELPTMN,DCN 1342-00790,DCN 1341-00790,VELPTMN_L1,"[""VELPT""]",L1,Mean Point Water Velocity,Water Column,m/s
not applicable,not applicable,not applicable,L2-SR-RQ-3027,Mean Wind Velocity,DCN 1341-00360,0,Mean Wind Velocity,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00360,not applicable,not applicable,not applicable,not applicable,m/s,WINDAVG,DCN 1342-00360,DCN 1341-00360,WINDAVG_L0,"[""METBK""]",L0,Mean Wind Velocity,"Air-Sea Interface, Surface Water",m/s
not applicable,not applicable,not applicable,L2-SR-RQ-3027,Mean Wind Velocity,DCN 1341-00360,0,Mean Wind Velocity,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00360,not applicable,not applicable,not applicable,not applicable,m/s,WINDAVG,DCN 1342-00360,DCN 1341-00360,WINDAVG_L1,"[""METBK""]",L1,Mean Wind Velocity,"Air-Sea Interface, Surface Water",m/s
,,,,,,2,Momentum Flux (Wind Stress) ,,,,,,,,,,,,N/m2,MOMMFLX,,,MOMMFLX_L2,"[""METBK""]",L2,Momentum Flux (Wind Stress),,N/m2
not applicable,not applicable,not applicable,L2-SR-RQ-3054,Acoustic Backscatter ,DCN 1341-00800,0,Multi-Frequency Acoustic Backscatter,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00800,not applicable,not applicable,not applicable,not applicable,TBD,SONBSCA,DCN 1342-00800,DCN 1341-00800,SONBSCA_L0,"[""ZPLSC"", ""ZPLSG""]",L0,Multi-Frequency Acoustic Backscatter,Water Column,TBD
not applicable,not applicable,not applicable,L2-SR-RQ-3054,Acoustic Backscatter ,DCN 1341-00800,0,Multi-Frequency Acoustic Backscatter,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00800,not applicable,not applicable,not applicable,not applicable,TBD,SONBSCA,DCN 1342-00800,DCN 1341-00800,SONBSCA_L1,"[""ZPLSC"", ""ZPLSG""]",L1,Multi-Frequency Acoustic Backscatter,Water Column,dB re 1(m^2 nmi^-2)
TBD,TBD,TBD,L2-SR-RQ-3084,Coupled near bottom pressure and tilt (Seafloor uplift/deflation),DCN 1341-00070,1,Nano-resolution Bottom Pressure,TBD,TBD,TBD,TBD,TBD,,DCN 1342-00060,TBD,TBD,TBD,TBD,nanoPascal,BOTPRES,DCN 1342-00060,DCN 1341-00070,BOTPRES_L1,"[""BOTPT""]",L1,Nano-resolution Bottom Pressure,Seafloor/Crust,nanoPascal
,,,,,,,,,,,,,,,,,,,,HEATFLX,,,HEATFLX_L2,"[""METBK""]",L2,Net Heat Flux,,W/m2
,,,,,,,,,,,,,,,,,,,,NETLIRR,,,NETLIRR_L2,"[""METBK""]",L2,Net Longwave Irradiance,,W/m2
,,,,,,,,,,,,,,,,,,,,NETSIRR,,,NETSIRR_L2,"[""METBK""]",L2,Net Shortwave Irradiance,,W/m2
TBD,TBD,TBD,L2-SR-RQ-3050,Nitrate,DCN 1341-00620,1,Nitrate Concentration,TBD,TBD,TBD,TBD,TBD,,DCN 1342-00620,TBD,TBD,TBD,TBD,??M,NITROPT,DCN 1342-00620,DCN 1341-00620,NITROPT_L1,"[""NUTNR""]",L1,Nitrate Concentration,Water Column,??M
not applicable,not applicable,not applicable,L2-SR-RQ-3090,Vent Fluid chloride concentrations,[DCN 1341-00170|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/5c359aaa-9a4d-4f55-88d3-17a9c4e7082f/1341-00170_Data_Product_Spec_TRHPHEH_OOI.pdf],0,ORP Volts,not applicable,not applicable,not applicable,not applicable,not applicable,,[DCN 1342-00150|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/54181509-329e-4ded-8081-7524d30aff49/1342-00150_Data_Processing_Flow_TRHPH_OOI.pdf],not applicable,not applicable,not applicable,not applicable,V,TRHPHVO,DCN 1342-00150,DCN 1341-00170,TRHPHVO_L0,"[""TRHPH""]",L0,ORP Volts,Seafloor/Crust,V
not applicable,not applicable,not applicable,Derived from design to achieve PCO2WAT,none,[DCN 1341-00487|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/80a7f169-8d1d-47d1-96b8-1eef13f333a8/1341-00490_Data_Product_Spec_PCO2WAT_OOI.pdf],0,Optical Absorbance Ratio at 434nm,not applicable,not applicable,not applicable,not applicable,not applicable,,[DCN 1342-00490|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/37041aff-4f16-4023-8b04-d3810ca2905f/1342-00490_PCO2W_Data_Processing_Flow_OOI.pdf],not applicable,not applicable,not applicable,not applicable,unitless,CO2ABS1,DCN 1342-00490,DCN 1341-00487,CO2ABS1_L0,"[""PCO2W""]",L0,Optical Absorbance Ratio at 434nm,Water Column,unitless
not applicable,not applicable,not applicable,Derived from design to achieve PCO2WAT,none,[DCN 1341-00488|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/80a7f169-8d1d-47d1-96b8-1eef13f333a8/1341-00490_Data_Product_Spec_PCO2WAT_OOI.pdf],0,Optical Absorbance Ratio at 620nm,not applicable,not applicable,not applicable,not applicable,not applicable,,[DCN 1342-00490|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/37041aff-4f16-4023-8b04-d3810ca2905f/1342-00490_PCO2W_Data_Processing_Flow_OOI.pdf],not applicable,not applicable,not applicable,not applicable,unitless,CO2ABS2,DCN 1342-00490,DCN 1341-00488,CO2ABS2_L0,"[""PCO2W""]",L0,Optical Absorbance Ratio at 620nm,Water Column,unitless
not applicable,not applicable,not applicable,Derived from design to achieve PHWATER,none,DCN 1341-00508,0,Optical Absorbance Signal Intensity at 434nm,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00510,not applicable,not applicable,not applicable,not applicable,unitless,PH434SI,DCN 1342-00510,DCN 1341-00508,PH434SI_L0,"[""PHSEN""]",L0,Optical Absorbance Signal Intensity at 434nm,Water Column,unitless
not applicable,not applicable,not applicable,Derived from design to achieve PHWATER,none,DCN 1341-00509,0,Optical Absorbance Signal Intensity at 578nm,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00510,not applicable,not applicable,not applicable,not applicable,unitless,PH578SI,DCN 1342-00510,DCN 1341-00509,PH578SI_L0,"[""PHSEN""]",L0,Optical Absorbance Signal Intensity at 578nm,Water Column,unitless
not applicable,not applicable,not applicable,L2-SR-RQ-3926,Optical Absorption,[DCN 1341-00700|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/464dee40-a810-4fbc-bcd1-4874e787bbca/1341-00700_Data_Product_SPEC_OPTABSN_OOI.pdf],2,Optical Absorption Coefficient,applicable,applicable,not applicable,applicable,not applicable,,[DCN 1342-00690|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/131c6f4a-e3fb-4f70-99b2-4a13c69b66eb/1342-00690_Data_Processing_Flow_OPTAA_OOI.pdf],not applicable,applicable,applicable,applicable,1/m,OPTABSN,DCN 1342-00690,DCN 1341-00700,OPTABSN_L2,"[""OPTAA""]",L2,Optical Absorption Coefficient,Water Column,1/m
not applicable,not applicable,not applicable,L2-SR-RQ-3059,Optical Backscatter,[DCN 1341-00540|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/2872f757-3ac4-4401-9728-d6ded25c5fa6/1341-00540_Data_Product_SPEC_FLUBSCT_OOI.pdf],0,Optical Backscatter (Red Wavelengths),not applicable,not applicable,not applicable,not applicable,not applicable,,"[DCN 1342-00531|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/f06ae944-8f55-40c0-a410-3af93cc9f2c6/1342-00531_Data_Processing_Flow_FLORD_OOI.pdf] (FLORD), [DCN 1342-00530|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/555778c3-b51d-4a68-b472-ad45101dd509/1342-00530_Data_Processing_Flow_FLORT_OOI.pdf] (FLORT)",not applicable,not applicable,not applicable,not applicable,counts,FLUBSCT,"DCN 1342-00531 (FLORD), DCN 1342-00530 (FLORT)",DCN 1341-00540,FLUBSCT_L0,"[""FLORD"", ""FLORT""]",L0,Optical Backscatter (Red Wavelengths),Water Column,counts
not applicable,not applicable,not applicable,L2-SR-RQ-3059,Optical Backscatter,[DCN 1341-00540|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/2872f757-3ac4-4401-9728-d6ded25c5fa6/1341-00540_Data_Product_SPEC_FLUBSCT_OOI.pdf],0,Optical Backscatter (Red Wavelengths),not applicable,not applicable,not applicable,not applicable,not applicable,,"[DCN 1342-00531|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/f06ae944-8f55-40c0-a410-3af93cc9f2c6/1342-00531_Data_Processing_Flow_FLORD_OOI.pdf] (FLORD), [DCN 1342-00530|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/555778c3-b51d-4a68-b472-ad45101dd509/1342-00530_Data_Processing_Flow_FLORT_OOI.pdf] (FLORT)",not applicable,not applicable,not applicable,not applicable,counts,FLUBSCT,"DCN 1342-00531 (FLORD), DCN 1342-00530 (FLORT)",DCN 1341-00540,FLUBSCT_L1,"[""FLORD"", ""FLORT""]",L1,Optical Backscatter (Red Wavelengths),Water Column,1/m
not applicable,not applicable,not applicable,L2-SR-RQ-3928,Optical Attenuation,[DCN 1341-00690|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/28089882-716e-4fa8-b4b6-c703f5630882/1341-00690_Data_Product_SPEC_OPTATTN_OOI.pdf],2,Optical Beam Attenuation Coefficient,applicable,applicable,not applicable,applicable,not applicable,,[DCN 1342-00690|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/131c6f4a-e3fb-4f70-99b2-4a13c69b66eb/1342-00690_Data_Processing_Flow_OPTAA_OOI.pdf],not applicable,applicable,applicable,applicable,1/m,OPTATTN,DCN 1342-00690,DCN 1341-00690,OPTATTN_L2,"[""OPTAA""]",L2,Optical Beam Attenuation Coefficient,Water Column,1/m
TBD,TBD,TBD,L2-SR-RQ-3048,Dissolved Oxygen,DCN 1341-00521,2,Oxygen Concentration from Fastrep DO Instrument,TBD,TBD,TBD,TBD,TBD,,DCN 1342-00521,TBD,TBD,TBD,TBD,uMol/l,DOCONCF,DCN 1342-00521,DCN 1341-00521,DOCONCF_L2,"[""DOFST""]",L2,Oxygen Concentration from Fastrep DO Instrument,Water Column,uMol/l
not applicable,not applicable,not applicable,L2-SR-RQ-3048,Dissolved Oxygen,[DCN 1341-00520|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/97f4bfbb-b075-4b1d-993f-b1df24adf369/1341-00520_Data_Product_SPEC_DOCONCS_OOI.pdf],0,Oxygen Concentration from Stable DO Instrument,not applicable,not applicable,not applicable,not applicable,not applicable,,[DCN 1342-00520|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/047d2339-e8e3-44c8-b1b7-4b4a575016b9/1342-00520_Data_Processing_Flow_DOSTA_OOI.pdf],not applicable,not applicable,not applicable,not applicable,degrees; degrees Celcius,DOCONCS,DCN 1342-00520,DCN 1341-00520,DOCONCS_L0,"[""DOSTA""]",L0,Oxygen Concentration from Stable DO Instrument,Water Column,degrees; degrees Celcius
not applicable,not applicable,not applicable,L2-SR-RQ-3048,Dissolved Oxygen,[DCN 1341-00520|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/97f4bfbb-b075-4b1d-993f-b1df24adf369/1341-00520_Data_Product_SPEC_DOCONCS_OOI.pdf],0,Oxygen Concentration from Stable DO Instrument,not applicable,not applicable,not applicable,not applicable,not applicable,,[DCN 1342-00520|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/047d2339-e8e3-44c8-b1b7-4b4a575016b9/1342-00520_Data_Processing_Flow_DOSTA_OOI.pdf],not applicable,not applicable,not applicable,not applicable,degrees; degrees Celcius,DOCONCS,DCN 1342-00520,DCN 1341-00520,DOCONCS_L2,"[""DOSTA""]",L2,Oxygen Concentration from Stable DO Instrument,Water Column,uMol/l
not applicable,not applicable,not applicable,Derived from design to achieve PCO2AIR,none,[DCN 1341-00260|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/295440da-24e6-4279-90f5-03055a5b5a31/1341-00260_Data_Product_SPEC_PCO2SSW_PCO2ATM_OOI.pdf],0,PCO2A Gas Stream Pressure,not applicable,not applicable,not applicable,not applicable,not applicable,,[DCN 1342-00260|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/057a2c02-c909-43c8-b0ef-102b4ad4f67e/1342-00260_PCO2A_Data_Processing_Flow_OOI.pdf],not applicable,not applicable,not applicable,not applicable,mbar,PRESAIR,DCN 1342-00260,DCN 1341-00260,PRESAIR_L0,"[""PCO2A""]",L0,PCO2A Gas Stream Pressure,Air-Sea Interface,mbar
not applicable,not applicable,not applicable,Derived from design to achieve PCO2WAT,none,[DCN 1341-00489|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/80a7f169-8d1d-47d1-96b8-1eef13f333a8/1341-00490_Data_Product_Spec_PCO2WAT_OOI.pdf],0,PCO2W Thermistor Temperature,not applicable,not applicable,not applicable,not applicable,not applicable,,[DCN 1342-00490|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/37041aff-4f16-4023-8b04-d3810ca2905f/1342-00490_PCO2W_Data_Processing_Flow_OOI.pdf],not applicable,not applicable,not applicable,not applicable,volts,CO2THRM,DCN 1342-00490,DCN 1341-00489,CO2THRM_L0,"[""PCO2W""]",L0,PCO2W Thermistor Temperature,Water Column,volts
not applicable,not applicable,not applicable,Derived from design to achieve PHWATER,none,DCN 1341-00507,0,PHSEN Thermistor Temperature,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00510,not applicable,not applicable,not applicable,not applicable,volts,ABSTHRM,DCN 1342-00510,DCN 1341-00507,ABSTHRM_L0,"[""PHSEN""]",L0,PHSEN Thermistor Temperature,Water Column,volts
not applicable,not applicable,not applicable,L2-SR-RQ-3023,pCO2 Air-Sea,[DCN 1341-00260|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/295440da-24e6-4279-90f5-03055a5b5a31/1341-00260_Data_Product_SPEC_PCO2SSW_PCO2ATM_OOI.pdf],1,Partial Pressure of CO2 in Atmosphere,applicable,applicable,not applicable,not applicable,not applicable,,[DCN 1342-00260|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/057a2c02-c909-43c8-b0ef-102b4ad4f67e/1342-00260_PCO2A_Data_Processing_Flow_OOI.pdf],not applicable,applicable,applicable,not applicable,??atm,PCO2ATM,DCN 1342-00260,DCN 1341-00260,PCO2ATM_L1,"[""PCO2A""]",L1,Partial Pressure of CO2 in Atmosphere,Air-Sea Interface,??atm
